record_id,date,year,season,region,product_id,category,product_name,color,fabric,price_tier,price_usd,discount_pct,historical_sales_units,search_volume_index,social_media_mentions,instagram_hashtag_count,tiktok_video_count,influencer_mentions,customer_rating,return_rate_pct,stock_availability_pct,repeat_purchase_rate_pct,website_click_through_rate,days_in_top_100,trending_score,is_trending,trending_label
1,2023-08-09,2023,Summer,Asia Pacific,P100000,Dresses,Bodycon Dress,Burgundy,Wool,Mid-Range,76.86,14.4,902,71,4555,8330,2214,14,3.6,14.2,92.6,18.2,2.48,38,61.05,1,Trending
2,2024-05-26,2024,Winter,North America,P100001,Dresses,Bodycon Dress,Cream,Denim,Budget,13.86,7.0,1141,29,4231,13644,1097,15,4.5,15.9,85.9,22.3,3.68,23,59.19,0,Not Trending
3,2025-05-04,2025,Spring,Middle East,P100002,Accessories,Mini Bag,Charcoal,Cotton,Premium,149.66,10.8,1307,87,1268,12841,0,18,4.5,15.5,90.9,15.4,4.79,17,40.65,0,Not Trending
4,2023-11-05,2023,Winter,North America,P100003,Accessories,Mini Bag,Sage Green,Wool,Budget,26.55,20.4,1283,61,1676,6184,856,18,4.1,9.2,84.6,26.7,3.35,13,45.82,0,Not Trending
5,2024-02-06,2024,Spring,Europe,P100004,Footwear,Ballet Flats,Cherry Red,Cotton,Luxury,515.93,0.0,2016,26,2589,3249,894,14,4.2,14.6,63.1,20.7,2.71,23,37.85,0,Not Trending
6,2023-04-03,2023,Spring,Latin America,P100005,Denim,Baggy Jeans,Hot Pink,Satin,Mid-Range,62.17,18.8,2524,20,1720,3367,849,13,3.4,10.7,54.7,28.4,6.5,63,38.69,0,Not Trending
7,2024-08-19,2024,Summer,Middle East,P100006,Tops,Tank Top,Hot Pink,Denim,Budget,20.97,25.1,1388,24,0,5568,1151,12,5.0,7.6,58.6,11.0,4.9,25,34.57,0,Not Trending
8,2023-06-30,2023,Winter,Middle East,P100007,Footwear,Slides,Sage Green,Linen,Budget,20.88,0.3,1611,47,3571,14530,1397,17,4.9,14.6,78.7,6.3,5.98,45,55.98,0,Not Trending
9,2023-11-04,2023,Fall,Latin America,P100008,Accessories,Mini Bag,Butter Yellow,Wool,Budget,29.44,26.0,1736,85,3181,11219,0,15,3.7,4.7,68.3,6.7,3.55,12,51.45,0,Not Trending
10,2025-11-12,2025,Fall,Latin America,P100009,Bottoms,Wide-Leg Jeans,Baby Blue,Denim,Budget,33.12,29.5,740,52,3456,20587,2889,22,3.8,3.2,81.3,12.7,2.52,0,70.95,1,Trending
11,2023-05-11,2023,Winter,Latin America,P100010,Activewear,Track Jacket,Mocha Mousse,Silk,Mid-Range,70.86,12.1,2990,17,806,17184,3814,8,5.0,14.0,55.3,27.8,4.15,14,61.74,1,Trending
12,2023-03-02,2023,Fall,North America,P100011,Bottoms,Mini Skirt,White,Satin,Budget,11.33,5.8,1746,51,3000,4392,1484,11,4.9,24.6,82.7,8.9,5.29,23,52.53,0,Not Trending
13,2023-12-18,2023,Winter,Middle East,P100012,Accessories,Mini Bag,Charcoal,Knit,Luxury,271.13,35.7,1323,53,5942,0,986,17,3.2,9.8,81.6,4.7,4.8,15,46.32,0,Not Trending
14,2025-11-04,2025,Spring,Europe,P100013,Activewear,Bike Shorts,Rust Orange,Wool,Luxury,542.45,24.0,1807,70,2406,8332,572,18,4.0,16.7,98.4,38.2,4.6,0,49.72,0,Not Trending
15,2025-12-27,2025,Winter,Asia Pacific,P100014,Denim,Flared Jeans,Beige,Silk,Premium,166.71,32.7,1718,78,4217,0,1473,15,4.4,8.5,43.4,23.7,4.77,11,61.39,1,Trending
16,2025-04-14,2025,Fall,Middle East,P100015,Activewear,Track Jacket,Butter Yellow,Wool,Budget,19.1,25.3,2199,23,2749,15407,530,22,4.1,17.1,100.0,28.4,4.33,54,44.89,0,Not Trending
17,2023-04-15,2023,Fall,North America,P100016,Dresses,Maxi Dress,Baby Blue,Satin,Budget,30.63,24.1,1807,63,3552,936,0,20,4.5,14.8,77.8,22.3,4.3,9,39.7,0,Not Trending
18,2025-09-24,2025,Winter,North America,P100017,Outerwear,Cardigan,Cream,Cotton,Mid-Range,35.3,31.2,592,12,0,4608,1874,22,4.8,18.5,73.6,20.9,2.24,11,22.07,0,Not Trending
19,2025-03-31,2025,Summer,North America,P100018,Dresses,Maxi Dress,Black,Satin,Luxury,555.98,30.8,218,73,1789,5330,237,14,4.3,10.9,82.2,16.6,1.28,36,40.33,0,Not Trending
20,2024-07-10,2024,Spring,North America,P100019,Footwear,Ankle Boots,Cherry Red,Polyester,Mid-Range,41.56,11.5,2253,28,3666,7870,1482,14,3.5,0.0,65.8,39.4,5.16,5,51.67,0,Not Trending
21,2023-09-27,2023,Fall,Asia Pacific,P100020,Footwear,Platform Heels,Hot Pink,Satin,Budget,23.73,28.0,1656,85,3183,10903,1148,15,3.7,14.6,88.3,23.7,3.07,26,57.48,0,Not Trending
22,2023-01-17,2023,Spring,Latin America,P100021,Activewear,Track Jacket,Lavender,Knit,Premium,109.97,14.0,448,0,1913,20102,1591,13,4.0,2.6,77.0,27.9,4.02,30,41.48,0,Not Trending
23,2025-05-27,2025,Winter,Middle East,P100022,Outerwear,Cardigan,Mocha Mousse,Silk,Premium,141.03,28.8,1592,56,6129,6191,352,21,4.4,2.6,64.2,0.0,2.32,0,43.78,0,Not Trending
24,2025-01-03,2025,Fall,Latin America,P100023,Denim,Flared Jeans,Burgundy,Polyester,Premium,160.14,14.2,1769,63,3592,18175,1121,21,3.5,5.8,57.2,23.3,3.58,8,72.03,1,Trending
25,2024-04-05,2024,Spring,Latin America,P100024,Bottoms,Wide-Leg Jeans,Sage Green,Knit,Mid-Range,35.4,23.6,1632,13,5672,14239,972,21,4.0,5.1,53.6,40.0,1.74,7,53.34,0,Not Trending
26,2023-11-12,2023,Spring,Middle East,P100025,Bottoms,Mini Skirt,Cherry Red,Linen,Premium,106.1,21.5,1203,36,4625,9208,0,14,3.8,19.6,62.3,27.6,4.17,0,47.25,0,Not Trending
27,2023-01-09,2023,Fall,Latin America,P100026,Bottoms,Wide-Leg Jeans,Mocha Mousse,Satin,Premium,96.37,45.6,2515,38,3064,9344,642,21,2.9,5.8,100.0,15.9,0.59,15,43.72,0,Not Trending
28,2023-04-03,2023,Winter,North America,P100027,Activewear,Yoga Set,Mocha Mousse,Satin,Budget,27.94,22.0,1263,46,4230,0,1347,21,4.9,11.0,52.9,23.2,2.2,22,57.18,0,Not Trending
29,2025-12-09,2025,Winter,Middle East,P100028,Outerwear,Trench Coat,Mocha Mousse,Wool,Mid-Range,47.93,19.7,1134,0,4569,9361,557,12,5.0,14.1,83.4,18.3,4.73,29,49.54,0,Not Trending
30,2025-09-15,2025,Summer,Middle East,P100029,Bottoms,Mini Skirt,Rust Orange,Satin,Premium,103.25,12.6,1202,57,2508,12760,0,9,3.6,0.0,56.7,31.1,3.13,4,46.43,0,Not Trending
31,2024-06-21,2024,Fall,Asia Pacific,P100030,Activewear,Bike Shorts,Mocha Mousse,Linen,Budget,20.42,32.5,1491,44,568,182,1817,12,3.4,0.0,56.5,22.8,4.65,2,29.97,0,Not Trending
32,2023-02-21,2023,Spring,North America,P100031,Outerwear,Cardigan,Rust Orange,Silk,Budget,32.97,10.5,366,0,5003,13938,281,20,5.0,17.6,85.3,11.1,3.52,15,31.06,0,Not Trending
33,2023-06-12,2023,Winter,North America,P100032,Denim,Denim Vest,Mocha Mousse,Denim,Premium,118.13,18.1,2018,65,3681,0,1275,11,5.0,22.1,100.0,33.5,3.52,23,37.51,0,Not Trending
34,2025-12-21,2025,Winter,Asia Pacific,P100033,Bottoms,Wide-Leg Jeans,Beige,Cotton,Budget,10.41,27.7,1674,51,2594,2587,1064,12,4.0,1.3,94.9,30.3,3.56,7,33.75,0,Not Trending
35,2023-10-21,2023,Fall,Asia Pacific,P100034,Footwear,Ballet Flats,Cream,Satin,Mid-Range,58.06,32.3,1095,56,1992,4859,1480,14,3.5,13.6,65.4,8.4,0.33,0,47.44,0,Not Trending
36,2025-03-23,2025,Summer,Asia Pacific,P100035,Activewear,Track Jacket,Butter Yellow,Cotton,Premium,103.6,53.1,972,27,2347,15137,2853,13,4.2,11.4,82.3,28.5,2.44,34,55.05,0,Not Trending
37,2025-04-21,2025,Spring,Europe,P100036,Footwear,Ankle Boots,White,Polyester,Mid-Range,72.65,18.3,812,13,2883,8419,575,11,3.8,9.6,74.1,9.9,4.59,20,18.11,0,Not Trending
38,2023-11-19,2023,Spring,Europe,P100037,Tops,Corset Top,White,Linen,Premium,217.99,27.6,679,22,3577,14224,811,16,4.1,9.5,68.8,13.2,2.21,27,32.05,0,Not Trending
39,2024-10-22,2024,Winter,North America,P100038,Activewear,Yoga Set,White,Wool,Budget,13.02,0.0,746,31,3794,10777,640,17,4.4,20.6,100.0,16.8,2.2,21,39.36,0,Not Trending
40,2024-08-03,2024,Summer,Asia Pacific,P100039,Denim,Skinny Jeans,Baby Blue,Polyester,Mid-Range,42.25,20.9,2315,91,3619,10947,164,12,4.2,17.2,92.7,32.0,3.93,14,60.57,0,Not Trending
41,2025-07-07,2025,Winter,Middle East,P100040,Activewear,Running Tights,Beige,Satin,Mid-Range,53.78,11.9,1161,100,2996,10040,2655,22,4.1,11.3,47.7,12.6,4.89,20,69.8,1,Trending
42,2025-10-06,2025,Summer,Europe,P100041,Tops,Bodysuit,Burgundy,Linen,Budget,28.15,9.2,1810,61,0,9147,1862,20,4.3,3.6,68.9,28.7,5.72,46,65.99,1,Trending
43,2025-03-04,2025,Fall,North America,P100042,Outerwear,Trench Coat,Mocha Mousse,Satin,Mid-Range,70.59,0.0,1943,50,3680,11350,862,17,4.8,4.6,65.0,9.5,1.97,20,50.92,0,Not Trending
44,2025-01-08,2025,Summer,Europe,P100043,Denim,Denim Vest,Beige,Denim,Luxury,582.11,26.8,0,50,2990,13227,2268,14,3.8,14.9,75.0,14.4,4.71,30,49.37,0,Not Trending
45,2025-06-05,2025,Summer,Asia Pacific,P100044,Activewear,Yoga Set,Rust Orange,Satin,Budget,32.82,13.2,630,44,3219,20225,0,12,4.2,14.5,83.9,34.5,2.82,36,44.85,0,Not Trending
46,2025-05-23,2025,Spring,Europe,P100045,Tops,Blouse,Black,Polyester,Premium,105.04,10.1,385,27,3453,14595,3728,8,4.1,14.6,77.2,6.0,1.18,29,60.99,0,Not Trending
47,2023-01-02,2023,Fall,Europe,P100046,Footwear,Ankle Boots,Sage Green,Satin,Mid-Range,63.41,30.6,2181,81,5260,11070,1738,17,3.4,16.2,59.1,28.4,5.73,15,56.46,0,Not Trending
48,2025-08-20,2025,Summer,North America,P100047,Denim,Skinny Jeans,Mocha Mousse,Silk,Budget,13.84,11.8,1502,31,2528,7079,956,19,3.1,10.5,57.1,13.1,5.57,17,54.3,0,Not Trending
